,dysfunction,Maturity,Solutions,Impacts
0,L'équipe ne s'approprie pas assez le sens métier,Niveau 1,Nobody Explodes (par Nextoo),"Déminons une bombe en mettant en place la bonne communication. Qu'elle soit efficace! Qu'elle fasse preuve de transparence en donnant de la visibilité! Le tout en utilisant le jeu vidéo ""Keep Talking and Nobody Explodes""."
4,L'équipe n'a pas d'objectifs priorisés,Niveau 1,GPS (par Nextoo),GPS: un outil qui permet de mettre en avant l'impact de la dispersion sur l'atteinte des objectifs.
7,Une personne impose régulièrement des décisions,Niveau 1,LegoVision (par Nextoo),Avancons nous dans le bon sens? Avons nous tous les éléments pour créer le produit attendu? LegoVision nous fourni des clefs pour répondre à ces questions.
8,Les membres d'une équipe ne communiquent pas suffisamment,Niveau 1,La corde carré (par Nextoo),Montrer l’importance de la mise en place d’un référentiel commun de communication lors de la mise en place d’une équipe projet / produit.
12,L'équipe ne recherche pas le feedback,Niveau 1,Tower of Power (par Nextoo),Atelier de groupe ludique et collaboratif. Tower of Power propose une activité physique de manipulation de blocs afin d'en construire une tour. L'équipe réussira-t-elle le défi? Qu'en apprendra-t-elle?
15,"En l'absence d'un membre, l'équipe est fortement ralentie",Niveau 1,Free Your Skills (par Nextoo),"Un serious game pour discuter gestion et transfert des compétences, en équipe, dans l'organisation. Quel impact sur la production? Quelle efficacité?"
16,Le produit / le service ne possède pas l'entièreté des compétences pour son bon fonctionnement,Niveau 1,Stringball (par Nextoo),Comment va se comporter l'équipe dans un contexte challengeant?
17,Problème d'objectif commun,Niveau 1,Stringball (par Nextoo),Comment va se comporter l'équipe dans un contexte challengeant?
21,L'ambiance n'est pas au beau fixe,Niveau 1,,
25,L'équipe se remet rarement en cause,Niveau 1,"LegoScrum (par Nextoo)
",Valider la compréhension et la bonne application des principes SCRUM autour de réalisations en Lego.
29,L'équipe dit oui à tout,Niveau 1,Estimachien (par Nextoo),"Faire comprendre l’importance d’une bonne planification au travers du fonctionnement du planning poker Scrum. Un atelier créé par Nico Tondeur et Matthieu Salikhov, présenté à l’Agile Tour Lille 2018 par Bernard Klymowicz."
31,L'équipe ne se sent pas responsable,Niveau 1,Les derdians (par Nextoo),"Les Derdians sont un peuple avec une culture ancestrale. Une équipe d’ingénieurs est censée les rejoindre pour les accompagner dans la construction d’un pont qui leur permettrait de rejoindre la civilisation plus facilement. Seulement, les ingénieurs ne doivent pas construire eux mêmes le pont mais bien apprendre aux derdians à le faire."
35,Des membres de l'équipe font de la rétention d'information,Niveau 1,,
38,L'équipe est déresponsabilisée,Niveau 1,Les derdians (par Nextoo),"Les Derdians sont un peuple avec une culture ancestrale. Une équipe d’ingénieurs est censée les rejoindre pour les accompagner dans la construction d’un pont qui leur permettrait de rejoindre la civilisation plus facilement. Seulement, les ingénieurs ne doivent pas construire eux mêmes le pont mais bien apprendre aux derdians à le faire."
42,L'équipe n'anticipe pas suffisamment,Niveau 1,La corde carré (par Nextoo),Montrer l’importance de la mise en place d’un référentiel commun de communication lors de la mise en place d’une équipe projet / produit.
44,L'équipe est trop grande,Niveau 1,Kanbanzine (par Nextoo),Comprendre le fonctionnement du Kanban en suivant la production d’un magazine.
49,La valeur du produit / service reste abstraite pour l'équipe,Niveau 1,Artistes et Spécifieurs (par Nextoo),"Montrer l’impacte de l’absence de communication orale sur la capacité à créer le bon produit pour une équipe agile. Un jeu créé par Alistair Cockburn, un des signataires du manifeste agile.

"
